"dist" "year" "state" "obs" "pop_linear" "x1" "x2" "x3" "x4" "x5" "x6"
"Bijnor" 2010 "Uttar Pradesh" 27 882078 915 795 58.358 250.512 2.40099483979293 1.49027265918182
"Bijnor" 2011 "Uttar Pradesh" 30 904425 917 807 59.72 248.736 2.30808102613481 1.22192524913019
"Bijnor" 2012 "Uttar Pradesh" 19 926772 919 819 61.082 236.472 2.37783790946903 1.97707871124391
"Bijnor" 2013 "Uttar Pradesh" 31 949118 921 831 62.444 237.9 2.18187763977621 2.26074068699703
"Bijnor" 2014 "Uttar Pradesh" 26 971465 923 843 63.806 239.136 2.17265971570748 2.43130968186313
"Budaun" 2001 "Uttar Pradesh" 62 613772 842 594 25.14 136.524 7.7864721286651 3.84436699239532
"Budaun" 2002 "Uttar Pradesh" 44 631060 845 606 26.635 142.212 6.59035293899349 2.78330439656521
"Budaun" 2003 "Uttar Pradesh" 28 648350 848 618 28.13 148.128 5.71756905299778 2.38755630784523
"Budaun" 2004 "Uttar Pradesh" 50 665641 851 629 29.625 140.388 6.5399499940616 2.65299858249669
"Budaun" 2005 "Uttar Pradesh" 32 682930 854 641 31.12 160.716 5.42238238277052 1.27229083841543
"Budaun" 2006 "Uttar Pradesh" 33 700218 856 653 32.615 167.4 5.02715556399034 1.21960578771363
"Budaun" 2007 "Uttar Pradesh" 31 717508 859 665 34.11 175.5 2.5704958486492 0.759464682555447
"Budaun" 2008 "Uttar Pradesh" 32 734798 862 677 35.605 195.564 1.95048073613438 0.688404965694486
"Budaun" 2009 "Uttar Pradesh" 43 752088 865 688 37.1 197.796 3.09830441066166 1.23932176426466
"Budaun" 2010 "Uttar Pradesh" 48 769377 868 700 38.595 185.52 2.32332111008283 0.802098954671452
"Budaun" 2011 "Uttar Pradesh" 48 786666 871 712 40.09 202.644 4.5900264428979 3.12339077475301
"Budaun" 2012 "Uttar Pradesh" 47 803955 874 724 41.585 245.376 4.93399646245789 4.10721867685684
"Budaun" 2013 "Uttar Pradesh" 58 821244 877 736 43.08 217.824 4.97598693462967 3.01178156569691
"Budaun" 2014 "Uttar Pradesh" 56 838534 880 747 44.575 209.592 4.96342495867242 2.72602614310506
"Bulandshahr" 2001 "Uttar Pradesh" 45 618485 879 656 42.48 214.032 8.581858226329 3.74169018667945
"Bulandshahr" 2002 "Uttar Pradesh" 47 640045 881 668 43.789 221.952 7.31375538757511 3.3366902459444
"Bulandshahr" 2003 "Uttar Pradesh" 25 661605 882 680 45.098 230.172 4.76521551514462 1.68768049494705
"Bulandshahr" 2004 "Uttar Pradesh" 36 683164 884 692 46.407 240.612 6.46565308619593 2.53427608403659
"Bulandshahr" 2005 "Uttar Pradesh" 41 704724 886 704 47.716 247.548 6.31631734454363 1.81833378100498
"Bulandshahr" 2006 "Uttar Pradesh" 33 726285 888 716 49.025 256.716 5.54384839547873 1.53473769140371
"Bulandshahr" 2007 "Uttar Pradesh" 36 747845 889 728 50.334 253.056 4.48983344870565 1.93739388540038
"Bulandshahr" 2008 "Uttar Pradesh" 29 769406 891 740 51.643 273 3.14014781641971 1.17755543115739
"Bulandshahr" 2009 "Uttar Pradesh" 53 790964 893 752 52.952 286.908 3.4981474641099 1.95659095450215
"Bulandshahr" 2010 "Uttar Pradesh" 40 812523 894 764 54.261 310.644 3.46371755857394 1.62998473344656
"Bulandshahr" 2011 "Uttar Pradesh" 50 834084 896 776 55.57 325.356 4.62966799850593 3.08644533233729
"Bulandshahr" 2012 "Uttar Pradesh" 48 855645 898 788 56.879 309.216 3.92827750923636 2.18861175514597
"Bulandshahr" 2013 "Uttar Pradesh" 52 877204 899 800 58.188 332.592 5.09665601511475 3.00289462512167
"Bulandshahr" 2014 "Uttar Pradesh" 55 898762 901 812 59.497 334.608 4.62539694561507 3.21884348846897
"Chandauli" 2001 "Uttar Pradesh" 16 361648 922 647 44.13 115.788 2.12992415644354 3.16445874671611
"Chandauli" 2002 "Uttar Pradesh" 14 371432 922 659 45.752 120.324 1.61497355630336 2.69162259383894
"Chandauli" 2003 "Uttar Pradesh" 11 381215 921 671 47.374 125.028 1.76371508946445 0.999438550696521
"Chandauli" 2004 "Uttar Pradesh" 10 391003 921 683 48.996 123.048 1.32904802023851 1.09790923411008
"Chandauli" 2005 "Uttar Pradesh" 9 400786 920 695 50.618 135 1.64708715476485 0.965533849344914
"Chandauli" 2006 "Uttar Pradesh" 12 410570 920 708 52.24 140.28 1.50725912743094 1.0048394182873
"Chandauli" 2007 "Uttar Pradesh" 22 420354 920 720 53.862 151.836 0.932778494736935 2.35938089845225
